"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3714991","2020","IA","Iowa","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.4","","","16.5","18.3","1541","Overall","Overall","ADDEPEV3","18","18","","","","","",""
"3724266","2020","KS","Kansas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.2","","","18.2","20.2","1820","Overall","Overall","ADDEPEV3","19","19","","","","","",""
"3716543","2020","KY","Kentucky","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","24.2","","","22.5","25.9","918","Overall","Overall","ADDEPEV3","20","20","","","","","",""
"3742188","2020","LA","Louisiana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.5","","","21.8","25.2","1089","Overall","Overall","ADDEPEV3","21","21","","","","","",""
"3739205","2020","ME","Maine","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.1","","","20.8","23.3","2271","Overall","Overall","ADDEPEV3","22","22","","","","","",""
"3740223","2020","MD","Maryland","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.7","","","14.9","16.6","2299","Overall","Overall","ADDEPEV3","23","23","","","","","",""
"3750406","2020","MA","Massachusetts","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.9","","","16.7","19.2","1233","Overall","Overall","ADDEPEV3","24","24","","","","","",""
"3748178","2020","MI","Michigan","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.6","","","18.3","20.8","1385","Overall","Overall","ADDEPEV3","25","25","","","","","",""
"3753026","2020","MN","Minnesota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.8","","","19.0","20.6","3249","Overall","Overall","ADDEPEV3","26","26","","","","","",""
"3752727","2020","MS","Mississippi","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.9","","","19.5","22.2","1224","Overall","Overall","ADDEPEV3","27","27","","","","","",""
"3770009","2020","MO","Missouri","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.8","","","21.6","24.0","1975","Overall","Overall","ADDEPEV3","28","28","","","","","",""
"3764483","2020","MT","Montana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.6","","","21.2","23.9","1310","Overall","Overall","ADDEPEV3","29","29","","","","","",""
"3757427","2020","NE","Nebraska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.8","","","15.8","17.7","2304","Overall","Overall","ADDEPEV3","30","30","","","","","",""
"3782010","2020","NV","Nevada","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.6","","","15.5","19.6","447","Overall","Overall","ADDEPEV3","31","31","","","","","",""
"3774517","2020","NH","New Hampshire","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.4","","","20.0","22.9","1285","Overall","Overall","ADDEPEV3","32","32","","","","","",""
"3785434","2020","NJ","New Jersey","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.2","","","14.4","16.1","1832","Overall","Overall","ADDEPEV3","33","33","","","","","",""
"3781933","2020","NM","New Mexico","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.6","","","16.1","19.1","1207","Overall","Overall","ADDEPEV3","34","34","","","","","",""
"3788806","2020","NY","New York","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.8","","","15.9","17.6","2559","Overall","Overall","ADDEPEV3","35","35","","","","","",""
"3790301","2020","NC","North Carolina","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.8","","","19.5","22.2","1201","Overall","Overall","ADDEPEV3","36","36","","","","","",""
"3787675","2020","ND","North Dakota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.2","","","17.5","21.0","708","Overall","Overall","ADDEPEV3","37","37","","","","","",""
"3811340","2020","OH","Ohio","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.0","","","21.0","23.0","3242","Overall","Overall","ADDEPEV3","38","38","","","","","",""
"3806725","2020","OK","Oklahoma","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.9","","","21.4","24.3","1129","Overall","Overall","ADDEPEV3","39","39","","","","","",""
"3807566","2020","OR","Oregon","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.2","","","19.9","22.4","1152","Overall","Overall","ADDEPEV3","40","40","","","","","",""
"3813460","2020","PA","Pennsylvania","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.2","","","18.8","21.7","1108","Overall","Overall","ADDEPEV3","41","41","","","","","",""
"3816175","2020","RI","Rhode Island","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.1","","","19.4","22.8","1135","Overall","Overall","ADDEPEV3","42","42","","","","","",""
"3815190","2020","SC","South Carolina","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.4","","","19.7","23.0","808","Overall","Overall","ADDEPEV3","43","43","","","","","",""
"3824601","2020","SD","South Dakota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.1","","","14.0","18.2","949","Overall","Overall","ADDEPEV3","44","44","","","","","",""
"3836087","2020","TN","Tennessee","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","24.1","","","22.4","25.8","1152","Overall","Overall","ADDEPEV3","45","45","","","","","",""
"3842173","2020","TX","Texas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.7","","","16.3","19.0","2215","Overall","Overall","ADDEPEV3","46","46","","","","","",""
"3837900","2020","UT","Utah","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.1","","","22.1","24.2","2398","Overall","Overall","ADDEPEV3","47","47","","","","","",""
"3848051","2020","VT","Vermont","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.3","","","21.6","25.0","1443","Overall","Overall","ADDEPEV3","48","48","","","","","",""
"3844001","2020","VA","Virginia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.2","","","16.2","18.3","1670","Overall","Overall","ADDEPEV3","49","49","","","","","",""
"3844397","2020","WA","Washington","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.4","","","22.5","24.4","3027","Overall","Overall","ADDEPEV3","50","50","","","","","",""
"3850149","2020","WV","West Virginia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","26.4","","","25.0","27.8","1530","Overall","Overall","ADDEPEV3","51","51","","","","","",""
"3857875","2020","WI","Wisconsin","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.8","","","18.2","21.4","913","Overall","Overall","ADDEPEV3","52","52","","","","","",""
"3869988","2020","WY","Wyoming","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.3","","","16.6","20.0","709","Overall","Overall","ADDEPEV3","53","53","","","","","",""
"3859076","2020","GU","Guam","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","9.1","","","6.9","11.2","205","Overall","Overall","ADDEPEV3","56","56","","","","","",""
"3871844","2020","PR","Puerto Rico","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.3","","","13.8","16.8","785","Overall","Overall","ADDEPEV3","60","60","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","Datasource","","Behavioral Risk Factor Surveillance System","http://www.cdc.gov/brfss","BRFSS","CDC"
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","%","Percent","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","CI","95% Confidence Interval","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","n","“Sample Size”. Translates to the number of adult respondents who answered this question, or were assigned to this category based on question responses for a calculated variable, or the number of states included for a median.","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","N/A","Translates to no data available for a record.","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","No Data","Translates to no data available for record.","","",""
"","","","","","","","","","","","","","","","","","","","","","","SuggestedCitation","","Centers for Disease Control and Prevention, National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health. BRFSS Prevalence & Trends Data [online]. 2015.","https://www.cdc.gov/brfss/brfssprevalence/","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Prevalence Data and Data Analysis Tools","/brfss/data_tools.htm","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Behavioral Risk Factor Surveillance System (BRFSS)","/brfss/index.html","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Division of Population Health","/nccdphp/dph/index.html","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Survey Data & Documentation","/brfss/data_documentation/index.htm","",""
