"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"4462101","2021","MI","Michigan","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.6","","","21.5","23.7","2014","Overall","Overall","ADDEPEV3","25","25","","","","","",""
"4471335","2021","MN","Minnesota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.5","","","19.7","21.2","3286","Overall","Overall","ADDEPEV3","26","26","","","","","",""
"4482287","2021","MS","Mississippi","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.0","","","18.4","21.7","850","Overall","Overall","ADDEPEV3","27","27","","","","","",""
"4483369","2021","MO","Missouri","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.8","","","21.6","24.0","2680","Overall","Overall","ADDEPEV3","28","28","","","","","",""
"4489058","2021","MT","Montana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.8","","","21.5","24.2","1249","Overall","Overall","ADDEPEV3","29","29","","","","","",""
"4499809","2021","NE","Nebraska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.5","","","16.6","18.4","2236","Overall","Overall","ADDEPEV3","30","30","","","","","",""
"4498192","2021","NV","Nevada","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.0","","","15.0","19.1","481","Overall","Overall","ADDEPEV3","31","31","","","","","",""
"4501419","2021","NH","New Hampshire","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.4","","","21.8","24.9","1303","Overall","Overall","ADDEPEV3","32","32","","","","","",""
"4504132","2021","NJ","New Jersey","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.5","","","16.3","18.7","1331","Overall","Overall","ADDEPEV3","33","33","","","","","",""
"4512618","2021","NM","New Mexico","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.8","","","18.4","21.2","1215","Overall","Overall","ADDEPEV3","34","34","","","","","",""
"4514089","2021","NY","New York","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.0","","","16.4","17.6","7719","Overall","Overall","ADDEPEV3","35","35","","","","","",""
"4526671","2021","NC","North Carolina","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.3","","","19.8","22.8","1018","Overall","Overall","ADDEPEV3","36","36","","","","","",""
"4519089","2021","ND","North Dakota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.5","","","18.0","20.9","921","Overall","Overall","ADDEPEV3","37","37","","","","","",""
"4523620","2021","OH","Ohio","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.0","","","21.0","23.0","3014","Overall","Overall","ADDEPEV3","38","38","","","","","",""
"4543735","2021","OK","Oklahoma","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","24.4","","","22.9","25.9","1206","Overall","Overall","ADDEPEV3","39","39","","","","","",""
"4532784","2021","OR","Oregon","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","24.6","","","23.2","26.0","1320","Overall","Overall","ADDEPEV3","40","40","","","","","",""
"4538672","2021","PA","Pennsylvania","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.1","","","17.8","20.4","1276","Overall","Overall","ADDEPEV3","41","41","","","","","",""
"4540294","2021","RI","Rhode Island","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.3","","","21.8","24.8","1285","Overall","Overall","ADDEPEV3","42","42","","","","","",""
"4549583","2021","SC","South Carolina","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.8","","","18.6","20.9","1780","Overall","Overall","ADDEPEV3","43","43","","","","","",""
"4559959","2021","SD","South Dakota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.5","","","14.5","18.5","1084","Overall","Overall","ADDEPEV3","44","44","","","","","",""
"4557081","2021","TN","Tennessee","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","25.2","","","23.6","26.9","1209","Overall","Overall","ADDEPEV3","45","45","","","","","",""
"4573680","2021","TX","Texas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.6","","","17.3","19.8","2176","Overall","Overall","ADDEPEV3","46","46","","","","","",""
"4563190","2021","UT","Utah","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","24.4","","","23.4","25.5","2335","Overall","Overall","ADDEPEV3","47","47","","","","","",""
"4571896","2021","VT","Vermont","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","25.4","","","23.8","27.0","1546","Overall","Overall","ADDEPEV3","48","48","","","","","",""
"4579983","2021","VA","Virginia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.6","","","18.5","20.7","1851","Overall","Overall","ADDEPEV3","49","49","","","","","",""
"4586181","2021","WA","Washington","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.4","","","22.4","24.4","2977","Overall","Overall","ADDEPEV3","50","50","","","","","",""
"4577477","2021","WV","West Virginia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","27.5","","","26.1","28.8","1692","Overall","Overall","ADDEPEV3","51","51","","","","","",""
"4596181","2021","WI","Wisconsin","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.4","","","18.9","21.9","1205","Overall","Overall","ADDEPEV3","52","52","","","","","",""
"4593507","2021","WY","Wyoming","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.0","","","19.1","22.9","744","Overall","Overall","ADDEPEV3","53","53","","","","","",""
"4590814","2021","GU","Guam","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","9.5","","","6.8","12.2","166","Overall","Overall","ADDEPEV3","56","56","","","","","",""
"4607347","2021","PR","Puerto Rico","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.3","","","13.7","16.9","651","Overall","Overall","ADDEPEV3","60","60","","","","","",""
"4606899","2021","VI","Virgin Islands","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","*","*","Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.","","","107","Overall","Overall","ADDEPEV3","62","62","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","Datasource","","Behavioral Risk Factor Surveillance System","http://www.cdc.gov/brfss","BRFSS","CDC"
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","%","Percent","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","CI","95% Confidence Interval","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","n","“Sample Size”. Translates to the number of adult respondents who answered this question, or were assigned to this category based on question responses for a calculated variable, or the number of states included for a median.","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","N/A","Translates to no data available for a record.","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","No Data","Translates to no data available for record.","","",""
"","","","","","","","","","","","","","","","","","","","","","","SuggestedCitation","","Centers for Disease Control and Prevention, National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health. BRFSS Prevalence & Trends Data [online]. 2015.","https://www.cdc.gov/brfss/brfssprevalence/","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Prevalence Data and Data Analysis Tools","/brfss/data_tools.htm","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Behavioral Risk Factor Surveillance System (BRFSS)","/brfss/index.html","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Division of Population Health","/nccdphp/dph/index.html","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Survey Data & Documentation","/brfss/data_documentation/index.htm","",""
